date,timestamp,minute,split,chg_open,rs_open,rs_30,daily_atr_pct,gap_pct,vwap_ext_atr,rvol_tod,close_pos,qqq_chg_open,atr20_pct,symbol,event,side,r075,robust_score,train_avg,validate_avg,test_avg,n,train_pf,validate_pf,test_pf,has_robust_combo,fallback_score,score,low,high,close,atr20,close_pos_bar,poc,vah,val,volume_profile_reaction,combo3,bar_open,bar_high,bar_low,bar_close,bar_volume,candle_body_pct,upper_wick_pct,lower_wick_pct,close_pos_bar_calc,is_bullish_body,is_bearish_body,bullish_continuation_candle,bearish_continuation_candle,bullish_rejection_candle,bearish_rejection_candle,bullish_engulfing_candle,bearish_engulfing_candle,inside_bar,side_continuation_candle,side_rejection_candle,side_engulfing_candle,opposing_candle_warning,entry_candle_ok,candle_pattern_score,candle_pattern_primary
2022-01-03,2022-01-03 18:10:00+00:00,790,train,1.5352726,1.2470722,0.01513958,1.8002210613783376,0.4107833,2.1972959844065225,2.7337082368508105,0.625,0.28820038,0.1251757447907596,V,L_late_trend_follow,long,0.75,0.3158772304199442,0.0971068063991607,0.1973684210526315,0.1666666666666666,59.0,1.2736646362158166,1.625,1.5,True,6.092416473701621,37.68013951569604,220.74,220.98,220.89,0.2765007019042969,0.625,220.7900047302246,221.77400436401365,218.65800552368165,True,V|L_late_trend_follow|long,220.88,220.98,220.74,220.89,4132,0.041645473041709055,0.375,0.5833545269582909,0.625,True,False,False,False,True,False,False,False,False,False,True,False,False,True,1,side_rejection
2022-01-05,2022-01-05 15:20:00+00:00,620,train,1.0016203,1.2054384,0.69954395,2.3000913423083,-0.007992983,0.8316013133047181,7.687753446877535,0.65417224,-0.20381808,0.3540147780257658,MA,L_vwap_pullback_trend,long,0.75,0.4705302820663672,0.0288479323347267,0.2857142857142857,0.1484375,231.0,1.0709831389394722,2.076923076923077,1.431818181818182,True,6.65417224,53.707200446636726,378.015,379.75,379.15,1.3422470092773438,0.65417224,379.0810104370117,379.0810104370117,375.5830073038737,True,MA|L_vwap_pullback_trend|long,378.14,379.75,378.015,379.15,9479,0.5821255188911559,0.34582776331527476,0.07204671779356926,0.6541722366847252,True,False,True,False,False,False,False,False,False,True,False,False,False,True,1,side_continuation
2022-01-11,2022-01-11 16:05:00+00:00,665,train,1.5252829,1.1747122,-0.20390749,1.9931123354871425,0.5697608,1.7891756529395662,3.0127741624487827,0.7187545,0.35057068,0.2833011775837929,XOM,L_10_ORB_confirmed,long,-1.0,0.3332205453746955,0.0111111111111111,0.199074074074074,0.1413043478260869,212.0,1.0263157894736843,1.6323529411764706,1.40625,True,6.7187545,40.04080903746955,69.775,69.935,69.89,0.1979991912841797,0.7187545,69.77000045776367,69.77000045776367,68.75800247192382,True,XOM|L_10_ORB_confirmed|long,69.8,69.935,69.775,69.89,12500,0.5624910590815888,0.2812455295407944,0.1562634113776167,0.7187544704592056,True,False,True,False,False,False,False,False,False,True,False,False,False,True,1,side_continuation
2022-01-12,2022-01-12 15:05:00+00:00,605,train,0.86688995,0.533545,0.47892332,2.4084638857571736,0.39834976,0.7041096883455608,2.535333333333333,0.9418747,0.33334494,0.3612226401827453,MA,L_vwap_pullback_trend,long,0.75,0.4705302820663672,0.0288479323347267,0.2857142857142857,0.1484375,231.0,1.0709831389394722,2.076923076923077,1.431818181818182,True,6.012541366666666,53.06556957330339,369.55,371.27,371.17,1.3407501220703124,0.9418747,370.5456609090169,371.3689895629883,368.07567494710287,True,MA|L_vwap_pullback_trend|long,370.02,371.27,369.55,371.17,3803,0.6686183708592821,0.058125299409165915,0.27325632973155195,0.9418747005908341,True,False,True,False,False,False,False,False,False,True,False,False,False,True,1,side_continuation
2022-01-13,2022-01-13 15:20:00+00:00,620,train,1.9697666,2.635473,0.8141935,2.3024756034593854,0.35669804,0.8510585882109958,4.835360908353609,0.9877931,-0.6657064,0.3030629554687595,MA,L_vwap_pullback_trend,long,0.75,0.4705302820663672,0.0288479323347267,0.2857142857142857,0.1484375,231.0,1.0709831389394722,2.076923076923077,1.431818181818182,True,6.9877931,54.04082130663672,375.02,375.84,375.83,1.13900146484375,0.9877931,375.6031667073568,377.1314971923828,370.71250915527344,True,MA|L_vwap_pullback_trend|long,375.21,375.84,375.02,375.83,5962,0.7560848529959062,0.012206922218087085,0.2317082247860067,0.9877930777819129,True,False,True,False,False,False,False,False,False,True,False,False,False,True,1,side_continuation
2022-01-18,2022-01-18 15:25:00+00:00,625,train,1.3177752,0.9087324,-0.3038764,2.061758148551398,1.3635635,1.694601416186016,1.827189853349188,1.0,0.40904284,0.3427718280695573,XOM,L_10_ORB_confirmed,long,-1.0,0.3332205453746955,0.0111111111111111,0.199074074074074,0.1413043478260869,212.0,1.0263157894736843,1.6323529411764706,1.40625,True,4.654379706698375,37.97643424416792,73.555,73.81,73.81,0.2529998779296875,1.0,73.62766304016114,73.62766304016114,72.89966316223145,True,XOM|L_10_ORB_confirmed|long,73.715,73.81,73.555,73.81,9220,0.37255781946563743,0.0,0.6274421805343625,1.0,True,False,True,False,True,False,False,False,False,True,True,False,False,True,2,side_rejection
2022-01-20,2022-01-20 15:05:00+00:00,605,train,1.9579172,1.2613535,0.9073496,2.665602343210087,0.38810968,0.9945014691351516,2.326,0.8301793,0.6965637,0.4195458310454724,MA,L_vwap_pullback_trend,long,0.75,0.4705302820663672,0.0288479323347267,0.2857142857142857,0.1484375,231.0,1.0709831389394722,2.076923076923077,1.431818181818182,True,5.4821793,52.53520750663672,368.55,369.345,369.21,1.549005126953125,0.8301793,369.1140014648437,370.5486694335938,364.0926635742188,True,MA|L_vwap_pullback_trend|long,368.6,369.345,368.55,369.21,3489,0.7672642125062378,0.16982073624812868,0.06291505124563357,0.8301792637518713,True,False,True,False,False,False,False,False,True,True,False,False,False,True,1,side_continuation
2022-01-26,2022-01-26 15:15:00+00:00,615,train,2.4323463,2.667433,0.8011222,3.3133524542706185,1.4133573,0.9223730328680256,3.81504221028396,0.98057836,-0.23508668,0.6012455291132288,MA,L_vwap_pullback_trend,long,-1.0,0.4705302820663672,0.0288479323347267,0.2857142857142857,0.1484375,231.0,1.0709831389394722,2.076923076923077,1.431818181818182,True,6.98057836,54.03360656663673,350.04,352.1,352.06,2.1167449951171875,0.98057836,351.43749237060547,351.43749237060547,348.79549407958984,True,MA|L_vwap_pullback_trend|long,350.41,352.1,350.04,352.06,4971,0.8009688601819205,0.019421646766021747,0.17960949305205773,0.9805783532339782,True,False,True,False,False,False,False,False,False,True,False,False,False,True,1,side_continuation
2022-01-27,2022-01-27 15:05:00+00:00,605,train,3.955412,3.5776496,3.1029224,3.773540079493281,1.5705347,1.6374046713475925,5.323701028063351,0.84637636,0.37776232,0.8736028352168504,CRM,L_10_ORB_confirmed,long,-1.0,0.2937114923046467,0.0059880239520958,0.2055555555555555,0.034090909090909,234.0,1.0140845070422535,1.6607142857142858,1.0833333333333333,True,6.84637636,36.21752559046468,221.41,223.135,222.87,1.9469985961914065,0.84637636,221.132080078125,221.132080078125,213.8487548828125,True,CRM|L_10_ORB_confirmed|long,222.435,223.135,221.41,222.87,19160,0.25217383612415856,0.15362364992171537,0.594202513954126,0.8463763500782846,True,False,False,False,True,False,False,False,False,False,True,False,False,True,1,side_rejection
2022-01-28,2022-01-28 15:50:00+00:00,650,train,0.8875489,0.6251931,-0.22923946,3.215488684136751,0.1570344,2.435426065126628,5.210843373493976,1.0,0.2623558,0.3986616576720845,HD,L_10_ORB_confirmed,long,0.75,0.1217436177823388,0.0027042317927444,0.0694444444444444,0.0694444444444444,184.0,1.0063918206010325,1.1785714285714286,1.1785714285714286,True,7.0,19.174361778233884,359.04,360.33,360.33,1.4364974975585938,1.0,359.04249114990233,359.9524907430013,353.5824935913086,True,HD|L_10_ORB_confirmed|long,359.235,360.33,359.04,360.33,6055,0.8488526141471493,0.0,0.15114738585285073,1.0,True,False,True,False,False,False,False,False,False,True,False,False,False,True,1,side_continuation
