symbol,event,side,trades,win_rate,avg_r,pf,gross_r,bad_rate,end_equity,return_pct,max_dd_pct,train_trades,train_win_rate,train_avg_r,train_pf,train_gross_r,train_bad_rate,validate_trades,validate_win_rate,validate_avg_r,validate_pf,validate_gross_r,validate_bad_rate,test_trades,test_win_rate,test_avg_r,test_pf,test_gross_r,test_bad_rate,positive_all_splits
MU,L_late_trend_follow,long,173,0.6647398843930635,0.16329479768786126,1.4870689655172413,28.25,0.3352601156069364,13183.25310503178,31.832531050317804,-5.8767378570043105,105,0.6666666666666666,0.16666666666666666,1.5,17.5,0.3333333333333333,40,0.7,0.225,1.75,9.0,0.3,28,0.6071428571428571,0.0625,1.1590909090909092,1.75,0.39285714285714285,True
TSLA,S_vwap_pullback_trend,short,273,0.63003663003663,0.09990640236432648,1.2700440380738724,27.27444784546113,0.36996336996337,13006.642100426865,30.06642100426864,-14.197459609690267,175,0.5885714285714285,0.03,1.0729166666666667,5.25,0.4114285714285714,64,0.6875,0.19178824758533014,1.6137223922730564,12.274447845461129,0.3125,34,0.7352941176470589,0.2867647058823529,2.0833333333333335,9.75,0.2647058823529412,True
MU,L_vwap_pullback_trend,long,311,0.6141479099678456,0.07579364703911101,1.1969600896515968,23.571824229163525,0.3858520900321543,12515.214977098152,25.152149770981524,-14.129748034125189,184,0.5706521739130435,0.0003903490715408867,1.0009128863049994,0.07182422916352316,0.42934782608695654,83,0.6746987951807228,0.18072289156626506,1.5555555555555556,15.0,0.3253012048192771,44,0.6818181818181818,0.19318181818181818,1.6071428571428572,8.5,0.3181818181818182,True
NVDA,S_vwap_pullback_trend,short,224,0.6294642857142857,0.10491623895401007,1.285733630740537,23.501237525698258,0.3705357142857143,12547.49345891985,25.474934589198494,-8.508717776310204,148,0.6283783783783784,0.1047380913898531,1.2857436154979824,15.50123752569826,0.3716216216216216,47,0.6170212765957447,0.0797872340425532,1.2083333333333333,3.75,0.3829787234042553,29,0.6551724137931034,0.14655172413793102,1.425,4.25,0.3448275862068966,True
CRM,L_10_ORB_confirmed,long,201,0.6318407960199005,0.10572139303482588,1.287162162162162,21.25,0.3681592039800995,12277.964164802119,22.779641648021197,-11.179402196264544,147,0.5918367346938775,0.03571428571428571,1.0875,5.25,0.40816326530612246,39,0.717948717948718,0.2564102564102564,1.9090909090909092,10.0,0.28205128205128205,15,0.8,0.4,3.0,6.0,0.2,True
ARM,L_vwap_pullback_trend,long,149,0.6442953020134228,0.12751677852348994,1.3584905660377358,19.0,0.35570469798657717,12027.92124268783,20.27921242687829,-6.577407302237548,55,0.6363636363636364,0.11363636363636363,1.3125,6.25,0.36363636363636365,58,0.603448275862069,0.05603448275862069,1.141304347826087,3.25,0.39655172413793105,36,0.7222222222222222,0.2638888888888889,1.95,9.5,0.2777777777777778,True
TSM,S_gap_cont_controlled,short,124,0.6532258064516129,0.1431451612903226,1.4127906976744187,17.75,0.3467741935483871,11889.478546064032,18.894785460640318,-7.033472036387023,84,0.6428571428571429,0.125,1.35,10.5,0.35714285714285715,19,0.631578947368421,0.10526315789473684,1.2857142857142858,2.0,0.3684210526315789,21,0.7142857142857143,0.25,1.875,5.25,0.2857142857142857,True
TSM,L_gap_cont_controlled,long,111,0.6576576576576577,0.15090090090090091,1.4407894736842106,16.75,0.34234234234234234,11776.775496326278,17.76775496326277,-4.212942819123056,74,0.6621621621621622,0.15878378378378377,1.47,11.75,0.33783783783783783,11,0.6363636363636364,0.11363636363636363,1.3125,1.25,0.36363636363636365,26,0.6538461538461539,0.14423076923076922,1.4166666666666667,3.75,0.34615384615384615,True
WMT,L_vwap_pullback_trend,long,263,0.6045627376425855,0.06151514098625278,1.1584034533412015,16.17848207938448,0.39543726235741444,11644.59429866532,16.445942986653208,-9.267983877032504,149,0.6174496644295302,0.08026726598691279,1.2131749740783253,11.959822632050006,0.3825503355704698,65,0.5692307692307692,0.01105629918976114,1.0265861563888887,0.7186594473344741,0.4307692307692308,49,0.6122448979591837,0.07142857142857142,1.1842105263157894,3.5,0.3877551020408163,True
SHOP,L_gap_cont_controlled,long,128,0.640625,0.12109375,1.3369565217391304,15.5,0.359375,11622.87176234564,16.22871762345639,-6.817970478434276,66,0.5909090909090909,0.03409090909090909,1.0833333333333333,2.25,0.4090909090909091,26,0.6153846153846154,0.07692307692307693,1.2,2.0,0.38461538461538464,36,0.75,0.3125,2.25,11.25,0.25,True
INTC,S_RS_accel_breakdown,short,86,0.6744186046511628,0.18023255813953487,1.5535714285714286,15.5,0.32558139534883723,11641.22351487017,16.412235148701694,-5.658554925193093,49,0.6530612244897959,0.14285714285714285,1.411764705882353,7.0,0.3469387755102041,29,0.7241379310344828,0.2672413793103448,1.96875,7.75,0.27586206896551724,8,0.625,0.09375,1.25,0.75,0.375,True
XOM,L_10_ORB_confirmed,long,173,0.6242774566473989,0.08916970904205346,1.2373286102196193,15.426359664275248,0.37572254335260113,11595.080271096622,15.950802710966228,-5.517022065549726,109,0.5871559633027523,0.022260180406194933,1.053919103650561,2.426359664275248,0.41284403669724773,40,0.675,0.18125,1.5576923076923077,7.25,0.325,24,0.7083333333333334,0.23958333333333334,1.8214285714285714,5.75,0.2916666666666667,True
SHOP,S_gap_cont_controlled,short,153,0.6274509803921569,0.09803921568627451,1.263157894736842,15.0,0.37254901960784315,11553.973154320174,15.53973154320174,-6.434686174517223,122,0.5901639344262295,0.03278688524590164,1.08,4.0,0.4098360655737705,12,1.0,0.75,inf,9.0,0.0,19,0.631578947368421,0.10526315789473684,1.2857142857142858,2.0,0.3684210526315789,True
